3;102;BE-56-5614-2345-663;444161
6;30;BE-56-5614-2345-664;82843
4;89;BE-56-5614-2345-665;123665
3;25;BE-56-5614-2345-666;206912
4;93;BE-56-5614-2345-667;199049
1;70;BE-56-5614-2345-668;345331
8;68;BE-56-5614-2345-669;67146
1;16;BE-56-5614-2345-670;467285
9;31;BE-56-5614-2345-671;41646
2;29;BE-56-5614-2345-672;186940
7;84;BE-56-5614-2345-673;87300
12;54;BE-56-5614-2345-674;365322
8;49;BE-56-5614-2345-675;32569
11;81;BE-56-5614-2345-676;129004
6;87;BE-56-5614-2345-677;354116
5;33;BE-56-5614-2345-678;377711
12;80;BE-56-5614-2345-679;238950
6;10;BE-56-5614-2345-680;414150
8;16;BE-56-5614-2345-681;146394
7;30;BE-56-5614-2345-682;255867
10;71;BE-56-5614-2345-683;235544
5;82;BE-56-5614-2345-684;463714
4;27;BE-56-5614-2345-685;484153
7;61;BE-56-5614-2345-686;123119
